meeting_airport,total_cost,path1,cost1,path2,cost2,path3,cost3
BMI,1094,MSP->DEN->BMI,306,LAX->DEN->BMI,316,HOU->DSM->DEN->BMI,472
MLU,1099,MSP->IAH->MLU,360,LAX->SAT->MLU,302,HOU->OKC->MLU,437
STS,1103,MSP->DEN->PHX->STS,402,LAX->PHX->STS,242,HOU->BOI->SEA->PHX->STS,459
CRW,1112,MSP->CRW,313,LAX->PIT->CRW,370,HOU->DSM->CRW,429
SPS,1112,MSP->ORD->MKE->SPS,351,LAX->ORD->MKE->SPS,411,HOU->LBB->SPS,350
FAI,1113,MSP->ORD->FAI,325,LAX->SEA->PDX->FAI,346,HOU->ORD->FAI,442
EAT,1115,MSP->SEA->EAT,425,LAX->SEA->EAT,270,HOU->BOI->SEA->EAT,420
SUN,1118,MSP->SEA->SUN,426,LAX->SEA->SUN,271,HOU->BOI->SEA->SUN,421
LFT,1120,MSP->ORD->LFT,359,LAX->AUS->LFT,285,HOU->ORD->LFT,476
LSE,1125,MSP->COS->LSE,368,LAX->SEA->BZN->LSE,342,HOU->BOI->LSE,415
BLI,1125,MSP->SEA->BLI,435,LAX->SAN->BLI,260,HOU->BOI->SEA->BLI,430
SCE,1126,MSP->ORD->ORF->SCE,394,LAX->BOS->SCE,416,HOU->ATL->SCE,316
FSM,1127,MSP->ORD->TVC->FSM,362,LAX->SFO->FSM,347,HOU->FSM,418
COU,1128,MSP->ORD->IND->COU,317,LAX->ORD->IND->COU,377,HOU->ORD->IND->COU,434
DRO,1129,MSP->DRO,281,LAX->DRO,339,HOU->ELP->DRO,509
BIL,1136,MSP->DEN->BIL,386,LAX->BIL,267,HOU->BOI->BIL,483
MSO,1142,MSP->DEN->OMA->MSO,394,LAX->SFO->MSO,269,HOU->BOI->SEA->SFO->MSO,479
CLL,1147,MSP->ORD->DAY->CLL,389,LAX->ABQ->CLL,363,HOU->DAY->CLL,395
ITO,1153,MSP->DEN->LAX->LIH->ITO,490,LAX->LIH->ITO,268,HOU->HNL->ITO,395
CMI,1154,MSP->ORD->TYS->CMI,341,LAX->PIT->CMI,373,HOU->DTW->CMI,440
RST,1154,MSP->RST,353,LAX->RST,387,HOU->ATL->RST,414
HLN,1154,MSP->HLN,360,LAX->SFO->HLN,296,HOU->BOI->HLN,498
LAN,1156,MSP->LAN,271,LAX->ORD->LAN,417,HOU->ATL->LAN,468
HTS,1159,MSP->ORD->OKC->HTS,421,LAX->MFE->ATL->HTS,432,HOU->ATL->HTS,306
GST,1163,MSP->SEA->JNU->GST,441,LAX->SEA->JNU->GST,286,HOU->BOI->SEA->JNU->GST,436
ABE,1171,MSP->OAJ->ABE,388,LAX->AUS->ABE,407,HOU->PHL->ABE,376
SBN,1187,MSP->EWR->SBN,368,LAX->SBN,346,HOU->CLT->SBN,473
YKM,1190,MSP->SEA->YKM,450,LAX->SEA->YKM,295,HOU->BOI->SEA->YKM,445
PAE,1190,MSP->DEN->SAN->PAE,462,LAX->SAN->PAE,247,HOU->BOI->SAN->PAE,481
FLG,1193,MSP->ELP->FLG,384,LAX->AUS->FLG,300,HOU->AUS->FLG,509
YUM,1205,MSP->COS->YUM,368,LAX->DEN->COS->YUM,384,HOU->COS->YUM,453
DLH,1209,MSP->ORD->MKE->DLH,385,LAX->DLH,369,HOU->DTW->DLH,455
GNV,1219,MSP->ORD->GNV,359,LAX->GNV,384,HOU->ORD->GNV,476
BTV,1220,MSP->MDT->BTV,379,LAX->BTV,364,HOU->RIC->BTV,477
CAK,1230,MSP->OAJ->CAK,409,LAX->BDL->CAK,346,HOU->ORF->CAK,475
ALW,1235,MSP->SEA->ALW,465,LAX->SEA->ALW,310,HOU->BOI->SEA->ALW,460
